Categoría: Todas las categorías

Semana,Samsung Electronics: (Todo el mundo),Apple: (Todo el mundo)
2025-09-14,68,80
2025-09-21,73,75
2025-09-28,67,69
2025-10-05,64,67
2025-10-12,65,65
2025-10-19,64,61
2025-10-26,62,59
2025-11-02,63,63
2025-11-09,69,63
2025-11-16,66,65
2025-11-23,72,72
2025-11-30,64,72
2025-12-07,63,62
2025-12-14,62,67
2025-12-21,67,66
2025-12-28,65,65
2026-01-04,60,62
2026-01-11,61,62
2026-01-18,59,60
2026-01-25,60,62
2026-02-01,57,58
2026-02-08,59,55
2026-02-15,59,62
2026-02-22,67,60
2026-03-01,65,71
2026-03-08,64,65
2026-03-15,62,63
2026-03-22,65,63
2026-03-29,66,66
2026-04-05,61,62
2026-04-12,59,62
2026-04-19,60,61
2026-04-26,59,61
2026-05-03,63,67
2026-05-10,66,66
2026-05-17,64,65
2026-05-24,66,64
2026-05-31,67,72
2026-06-07,65,67
2026-06-14,69,63
2026-06-21,70,67
2026-06-28,65,55
2026-07-05,66,53
2026-07-12,67,54
